nt_cluster,uniport_cluster
Cluster-98950.0_TRINITY_DN201392_c8_g1,Cluster-9655.0_TRINITY_DN318686_c0_g1
Cluster-98949.1_TRINITY_DN194143_c0_g1,Cluster-96525.5_TRINITY_DN197749_c2_g1
Cluster-98932.42_TRINITY_DN204978_c1_g1,Cluster-96525.10_TRINITY_DN197749_c2_g1
Cluster-98932.41_TRINITY_DN211212_c3_g1,Cluster-96482.0_TRINITY_DN210491_c2_g1
Cluster-98932.3_TRINITY_DN210754_c1_g1,Cluster-96350.1_TRINITY_DN211303_c5_g2
Cluster-98932.25_TRINITY_DN200284_c0_g1,Cluster-96282.0_TRINITY_DN198827_c4_g1
Cluster-98932.18_TRINITY_DN204978_c1_g1,Cluster-96266.0_TRINITY_DN198244_c2_g1
Cluster-98889.1_TRINITY_DN202414_c0_g3,Cluster-96228.0_TRINITY_DN202006_c5_g1
Cluster-9884.1_TRINITY_DN194185_c0_g1,Cluster-96202.0_TRINITY_DN202242_c3_g1
Cluster-98832.0_TRINITY_DN202065_c0_g2,Cluster-96164.4_TRINITY_DN210349_c1_g1
Cluster-98787.0_TRINITY_DN206175_c2_g2,Cluster-96060.0_TRINITY_DN194382_c6_g1
Cluster-98777.0_TRINITY_DN209077_c1_g1,Cluster-96054.3_TRINITY_DN202066_c0_g1
Cluster-98742.0_TRINITY_DN208117_c0_g2,Cluster-95943.0_TRINITY_DN206155_c1_g1
Cluster-98712.2_TRINITY_DN195559_c7_g1,Cluster-95899.43_TRINITY_DN200183_c5_g1
Cluster-98699.2_TRINITY_DN208702_c0_g1,Cluster-95899.28_TRINITY_DN200444_c5_g2
Cluster-98699.10_TRINITY_DN208702_c0_g1,Cluster-95899.24_TRINITY_DN200183_c5_g1
Cluster-98699.0_TRINITY_DN210590_c0_g1,Cluster-95894.0_TRINITY_DN197032_c0_g3
Cluster-9868.0_TRINITY_DN195288_c9_g2,Cluster-95572.0_TRINITY_DN150632_c0_g1
Cluster-98655.0_TRINITY_DN204221_c0_g4,Cluster-95556.0_TRINITY_DN208294_c1_g4
Cluster-98653.10_TRINITY_DN209825_c1_g1,Cluster-95550.0_TRINITY_DN195996_c1_g7
Cluster-98650.2_TRINITY_DN209877_c2_g1,Cluster-95528.0_TRINITY_DN203979_c0_g1
Cluster-98627.1_TRINITY_DN204099_c1_g2,Cluster-95516.1_TRINITY_DN202237_c0_g2
Cluster-98618.0_TRINITY_DN197863_c0_g1,Cluster-95449.2_TRINITY_DN205362_c0_g4
Cluster-98617.0_TRINITY_DN199711_c1_g3,Cluster-95320.0_TRINITY_DN192341_c0_g1
