Ck_R1_RSEM,Ck_R2_RSEM,Ck_R3_RSEM,Cu_R1_RSEM,Cu_R2_RSEM,Cu_R3_RSEM
0.655810494,0.769894036,0.764176132,1.69522768,1.622711259,1.756468747
1.127461163,1.081851172,0.964589587,2.282490695,1.791093874,2.224110734
3.160843237,3.158526226,3.199971174,2.132381377,2.511598638,1.90548286
0.212986185,0.283301229,0.165541077,0,0,0
1.264085514,1.330880288,1.296774847,0.26927939,0.813647695,0.623869268
1.983071226,2.092222218,1.974879973,3.238970693,2.776397507,3.159654404
1.349860082,1.72822388,1.472185789,2.584423954,2.140778215,2.44469419
-0.540607512,-0.782516056,-0.823908741,0.310480891,0.103803721,0.422425676
0.241297387,0.447623098,0.017867719,1.147150525,1.455773409,1.862232782
1.294025094,1.302655554,1.09961159,0.796574333,0.416640507,0.636287252
0.020775488,0.253822439,-0.393618635,0.748343104,0.822364252,0.828659897
0.16790781,0.289811839,0.099680641,1.208064948,1.339411687,1.41717265
0.281487888,0.346548559,0.31302311,1.22214397,0.793511006,1.148201487
0.704836606,0.662474504,0.799202656,0.011993115,0.082426301,-0.266000713
-0.051587034,-0.03574037,0.03702788,0.698013504,0.421768401,0.823669813
1.641920074,1.773998423,1.648272167,2.525757243,2.599859065,2.61496362
-0.14327111,0.222196046,0.168497484,0,0,0
0.070407322,0.047274867,0.121559844,0.76930346,0.779091204,0.803730171
-0.240332155,-0.565431096,-0.384049948,0.967828679,0.645225712,0.656864492
0.08278537,0.176958981,0.133858125,0.868761958,0.747877706,0.855640281
0.531606632,0.540579717,0.526339277,1.299114884,1.166933095,1.406182379
0,0,0,0.317854489,0.210853365,-0.185086819
0.397244581,0.357744325,0.379124146,1.867661905,1.495599835,1.673886788
0,0,0,0.465680212,0.165244326,0.426023016
-0.047207557,0.016197354,0.133858125,1.201506367,1.146003934,1.349413527
0.617629298,0.776991585,0.752125307,-0.474955193,0.027757205,0.211387553
0.682506086,0.8192148,0.873436863,1.561017857,1.754172441,1.655157651
-1.167491087,-1.060480747,-1.026872146,0.035829825,0.152899596,0.073351702
0.600428326,0.59835271,0.308991029,1.368565785,1.821343183,1.676529004
-0.008330993,0.344588743,-0.093126465,1.29249974,1.4672084,1.574528973
-0.42945706,-0.809668302,0,0.604118006,0.677971753,0.518250651
0.489677292,0.361350024,0.433449794,-0.505845406,-0.034328029,-0.149966742
-0.692503962,-1.236572006,0,0.469085299,0.29907126,0.502017215
0.45377686,0.204119983,0.330413773,-1.161150909,-0.311580178,-0.913640169
1.455058145,1.323746976,1.391464412,-0.007888512,0.573799582,-0.199970641
1.079108858,1.138965478,1.145972903,1.876414153,1.761875239,1.844856009
1.228451691,1.311584347,1.242019365,2.00611076,1.895897469,2.033343323
