BnaA01g13370D,BnaA01g31990D,BnaA01g00920D,BnaA01g02880D,BnaA01g13370D,BnaA01g03440D
BnaA01g28190D,BnaA01g34130D,BnaA01g01000D,BnaA01g15180D,BnaA01g23130D,BnaA01g09040D
BnaA01g29480D,BnaA01g34140D,BnaA01g02990D,BnaA01g23160D,BnaA01g24490D,BnaA01g14380D
BnaA01g36380D,BnaA02g00660D,BnaA01g18270D,BnaA01g27170D,BnaA01g28230D,BnaA01g16700D
BnaA01g36390D,BnaA02g20640D,BnaA01g23170D,BnaA01g28190D,BnaA02g15910D,BnaA01g23160D
BnaA02g31600D,BnaA02g21280D,BnaA01g26820D,BnaA01g31570D,BnaA02g17810D,BnaA01g28900D
BnaA02g33800D,BnaA02g31080D,BnaA02g01840D,BnaA01g34130D,BnaA02g21120D,BnaA01g29410D
BnaA03g05850D,BnaA02g32460D,BnaA02g01850D,BnaA01g34140D,BnaA02g21140D,BnaA01g31030D
BnaA03g36320D,BnaA02g33340D,BnaA02g15900D,BnaA01g34610D,BnaA02g26010D,BnaA01g31220D
BnaA03g52980D,BnaA02g37020D,BnaA02g15910D,BnaA01g34620D,BnaA03g05120D,BnaA01g32720D
BnaA03g55270D,BnaA03g00690D,BnaA02g26010D,BnaA01g35850D,BnaA03g14120D,BnaA01g33820D
BnaA03g56860D,BnaA03g09130D,BnaA02g30300D,BnaA01g36920D,BnaA03g15210D,BnaA01g34130D
BnaA04g14250D,BnaA03g09330D,BnaA02g32350D,BnaA02g01440D,BnaA03g18530D,BnaA01g34610D
BnaA04g17360D,BnaA03g09340D,BnaA02g36180D,BnaA02g01500D,BnaA03g19270D,BnaA01g34620D
BnaA05g08110D,BnaA03g20290D,BnaA02g36580D,BnaA02g02020D,BnaA03g20910D,BnaA01g35850D
BnaA05g35300D,BnaA03g21260D,BnaA03g05120D,BnaA02g03140D,BnaA04g02910D,BnaA02g01440D
BnaA05g35920D,BnaA03g25460D,BnaA03g07480D,BnaA02g03400D,BnaA04g09030D,BnaA02g02020D
